Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2023-09-30,15331.457,60.8152,738698900,30.5051,61.44,MFANGETF,Technology
2023-10-31,15096.267,60.0718,557252900,-53.1302,60.42,MFANGETF,Technology
2023-11-30,16934.98,68.2027,802495600,-198.5495,68.91,MFANGETF,Technology
2023-12-31,18095.555,71.8949,943419500,237.5444,73.01,MFANGETF,Technology
2024-01-31,18644.26,74.2493,1459834000,-56.7262,75.78,MFANGETF,Technology
2024-02-29,20461.051,81.3549,1347643000,31.4917,83.36,MFANGETF,Technology
2024-03-31,20793.659,82.6117,965338400,16.1177,87.56,MFANGETF,Technology
2024-04-30,20221.827,80.3398,1233106000,0,96.07,MFANGETF,Technology
2024-05-31,21429.491,85.1378,1109181000,0,95.12,MFANGETF,Technology
2024-06-30,23516.46,93.4326,1044317000,0,94.38,MFANGETF,Technology
2024-07-31,23219.004,92.4678,1500108000,-59.8556,98.23,MFANGETF,Technology
2024-08-31,23108.9391,92.0295,1549321000,0,94.77,MFANGETF,Technology
2024-09-30,23689.186,94.4908,968350400,-37.8453,94.88,MFANGETF,Technology
2024-10-31,23871.882,96.5286,1268684000,-333.4988,98.21,MFANGETF,Technology
2024-11-30,25592.1113,103.4846,2075387000,0,111.44,MFANGETF,Technology
2024-12-31,27434.636,110.935,1915024000,0,136.31,MFANGETF,Technology
2025-01-31,28635.0585,115.7891,2270018000,0,134.83,MFANGETF,Technology
2025-02-28,27450.657,110.9998,1558558000,0,126.51,MFANGETF,Technology
2025-03-31,24056.974,97.2771,2133187000,0,119.49,MFANGETF,Technology
2025-04-30,25615.965,103.5811,2050598000,0,121.59,MFANGETF,Technology
2025-05-31,28760.6237,116.3009,1956600000,0,136.24,MFANGETF,Technology
2025-06-30,31233.137,126.2947,1391828000,0,140.96,MFANGETF,Technology
2025-07-31,32446.13,131.1996,1482140000,0,155.5,MFANGETF,Technology
2025-08-31,32716.118,132.296,942720200,0,158.1,MFANGETF,Technology
2025-09-30,34919.415,141.2006,1145115000,0,169.11,MFANGETF,Technology
2025-10-31,36518.0834,147.6702,1734089000,0,178.78,MFANGETF,Technology
2015-10-31,59.8849,11.8632,2897726,-0.5568,11.86,TXF,Technology
2015-11-30,59.8849,11.9302,2558261,1.8046,11.92,TXF,Technology
2015-12-31,61.2868,11.5672,3661558,1.1722,11.7768,TXF,Technology
2016-01-31,56.2101,10.8136,5997381,-0.5213,10.9233,TXF,Technology
2016-02-29,54.7412,10.8441,4513516,-0.8724,11.0452,TXF,Technology
2016-03-31,60.3369,11.4957,3631017,2.2709,11.9619,TXF,Technology
2016-04-30,60.8457,11.2713,2543169,1.7279,11.7231,TXF,Technology
2016-05-31,65.7454,12.0674,5315077,1.1296,12.4811,TXF,Technology
2016-06-30,65.9993,11.6838,3162108,2.3764,12.3187,TXF,Technology
2016-07-31,71.5325,12.5528,2768558,0.6652,13.2679,TXF,Technology
2016-08-31,74.7393,12.89,3705791,1.2555,13.5843,TXF,Technology
2016-09-30,83.97,13.0211,10826220,8.46,13.9895,TXF,Technology
2016-10-31,93.2564,12.955,16608970,9.6674,13.9038,TXF,Technology
2016-11-30,93.2564,13.2118,9420820,9.7002,14.1821,TXF,Technology
2016-12-31,107.5051,13.0329,15995130,3.978,14.1443,TXF,Technology
2017-01-31,121.2339,13.5472,13961620,9.4569,14.7196,TXF,Technology
2017-02-28,138.2684,14.1832,16725020,11.1813,15.4143,TXF,Technology
2017-03-31,154.3002,14.2881,21670250,14.9854,15.7444,TXF,Technology
2017-04-30,159.3679,14.4893,17126810,2.7852,15.9422,TXF,Technology
2017-05-31,176.3028,15.2002,15780190,8.9505,16.7443,TXF,Technology
2017-06-30,166.8278,14.673,28790290,2.9751,16.3461,TXF,Technology
2017-07-31,185.5177,15.084,20346500,14.1305,16.7963,TXF,Technology
2017-08-31,194.4364,15.5709,12615870,6.0132,17.3299,TXF,Technology
2017-09-30,206.2047,15.6793,29721910,3.9509,17.6653,TXF,Technology
