Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2016-08-31,,,,,,PAVE,Industries
2016-09-30,,,,,,PAVE,Industries
2016-10-31,,,,,,PAVE,Industries
2016-11-30,,,,,,PAVE,Industries
2016-12-31,,,,,,PAVE,Industries
2017-01-31,,,,,,PAVE,Industries
2017-02-28,,,,,,PAVE,Industries
2017-03-31,,,,,,PAVE,Industries
2017-04-29,,,,,,PAVE,Industries
2017-05-31,,,,,,PAVE,Industries
2017-06-30,,,,,,PAVE,Industries
2017-07-31,,,,,,PAVE,Industries
2017-08-31,,,,,,PAVE,Industries
2017-09-30,,,,,,PAVE,Industries
2017-10-31,,,,,,PAVE,Industries
2017-11-30,,,,,,PAVE,Industries
2017-12-30,,,,,,PAVE,Industries
2018-01-31,,,,,,PAVE,Industries
2018-02-28,,,,,,PAVE,Industries
2018-03-31,,,,,,PAVE,Industries
2018-04-30,,,,,,PAVE,Industries
2018-05-31,,,,,,PAVE,Industries
2018-06-30,,,,,,PAVE,Industries
2018-07-31,,,,,,PAVE,Industries
2018-08-31,,,,,,PAVE,Industries
2018-09-29,,,,,,PAVE,Industries
2018-10-31,,,,,,PAVE,Industries
2018-11-30,,,,,,PAVE,Industries
2018-12-31,,,,,,PAVE,Industries
2019-01-31,,,,,,PAVE,Industries
2019-02-28,,,,,,PAVE,Industries
2019-03-30,,,,,,PAVE,Industries
2019-04-30,,,,,,PAVE,Industries
2019-05-31,,,,,,PAVE,Industries
2019-06-29,,,,,,PAVE,Industries
2019-07-31,,,,,,PAVE,Industries
2019-08-31,,,,,,PAVE,Industries
2019-09-30,,,,,,PAVE,Industries
2019-10-31,,,,,,PAVE,Industries
2019-11-30,,,,,,PAVE,Industries
2019-12-31,,,,,,PAVE,Industries
2020-01-31,,,,,,PAVE,Industries
2020-02-29,,,,,,PAVE,Industries
2020-03-31,,,,,,PAVE,Industries
2020-04-30,,,,,,PAVE,Industries
2020-05-30,,,,,,PAVE,Industries
2020-06-30,,,,,,PAVE,Industries
2020-07-31,,,,,,PAVE,Industries
2020-08-31,,,,,,PAVE,Industries
2020-09-30,,,,,,PAVE,Industries
2020-10-31,,,,,,PAVE,Industries
2020-11-30,,,,,,PAVE,Industries
2020-12-31,,,,,,PAVE,Industries
2021-01-30,,,,,,PAVE,Industries
2021-02-27,,,,,,PAVE,Industries
2021-03-31,,,,,,PAVE,Industries
2021-04-30,,,,,,PAVE,Industries
2021-05-31,,,,,,PAVE,Industries
2021-06-30,,,,,,PAVE,Industries
2021-07-31,,,,,,PAVE,Industries
2021-08-31,,,,,,PAVE,Industries
2021-09-30,,,,,,PAVE,Industries
2021-10-30,,,,,,PAVE,Industries
2021-11-30,24.1866,24.6802,419215.4,24.4639,25.0925,PAVE,Industries
2021-12-31,25.9366,26.1986,124304,0.2551,25.9775,PAVE,Industries
2022-01-31,175.8395,23.989,885016.6,156.5671,23.695,PAVE,Industries
