Date,FUND_TOTAL_ASSETS,FUND_NET_ASSET_VAL,TURNOVER,FUND_FLOW,TOT_RETURN_INDEX_GROSS_DVDS,FundTicker,SectorSheet
2021-08-31,473.1334,38.9223,17008550,-5.8509,45.084,NANR,Energy
2021-09-30,475.3158,39.8454,27053090,-18.8795,46.1618,NANR,Energy
2021-10-29,518.1595,43.8787,17946960,-3.125,50.8441,NANR,Energy
2021-11-30,480.4207,42.4036,15949830,-8.9371,49.2265,NANR,Energy
2021-12-31,506.3905,43.9713,13780140,0.2318,51.8705,NANR,Energy
2022-01-31,554.6947,47.243,38862880,-2.1652,55.7599,NANR,Energy
2022-02-28,515.0602,52.3547,133318200,-87.1724,62.1008,NANR,Energy
2022-03-31,622.9264,57.9442,133997400,50.1346,68.3828,NANR,Energy
2022-04-29,607.5424,55.9702,103100500,17.9709,65.8842,NANR,Energy
2022-05-31,678.0459,59.2053,94524240,35.8556,69.8561,NANR,Energy
2022-06-30,651.4524,49.221,185427300,101.5245,58.5092,NANR,Energy
2022-07-29,561.8032,50.6089,140394600,-87.7132,60.1378,NANR,Energy
2022-08-31,548.6347,51.2899,55223820,-12.851,60.9461,NANR,Energy
2022-09-30,546.6456,47.7928,52808420,-1.87,56.6905,NANR,Energy
2022-10-31,602.2897,54.508,60935250,-0.8356,64.9046,NANR,Energy
2022-11-30,602.521,57.6407,64659500,-25.4162,68.7798,NANR,Energy
2022-12-30,694.3276,54.1386,175647300,129.4419,65.6168,NANR,Energy
2023-01-31,827.2522,57.806,148417900,89.2628,69.9856,NANR,Energy
2023-02-28,783.9575,52.8826,59465490,9.7666,63.9709,NANR,Energy
2023-03-31,597.7095,53.6144,239230800,-189.5246,64.9027,NANR,Energy
2023-04-28,579.0919,55.0608,39577400,-8.1568,66.5849,NANR,Energy
2023-05-31,527.6927,49.0506,47810970,7.5696,59.4327,NANR,Energy
2023-06-30,550.4347,51.5467,46146240,-5.2735,63.2243,NANR,Energy
2023-07-31,578.1275,55.4067,21213540,-2.7703,67.8529,NANR,Energy
2023-08-31,576.3539,53.6454,19907420,0,65.8578,NANR,Energy
2023-09-29,541.9217,53.0464,14258160,-4.0701,64.9811,NANR,Energy
2023-10-31,519.039,49.7261,46450190,-1.3078,61.0399,NANR,Energy
2023-11-30,524.3819,50.5718,26831170,-12.4555,62.0471,NANR,Energy
2023-12-29,516.4112,51.1298,51108890,-6.086,63.4862,NANR,Energy
2024-01-31,489.2729,48.1842,34804110,-6.2213,59.9285,NANR,Energy
2024-02-29,489.8545,48.6478,33921530,-2.3897,60.6375,NANR,Energy
2024-03-29,549.0971,54.5333,19191990,2.506,67.9455,NANR,Energy
2024-04-30,551.7742,55.7575,40646360,-0.0361,69.3896,NANR,Energy
2024-05-31,561.3045,57.3116,20788130,2.8566,71.3498,NANR,Energy
2024-06-28,547.3415,54.4743,33241630,2.6901,68.385,NANR,Energy
2024-07-31,552.8298,56.2851,27217130,1.3885,70.71,NANR,Energy
2024-08-30,572.0128,56.4951,20232160,1.3088,70.96,NANR,Energy
2024-09-30,579.6557,56.6062,20093640,-1.3217,71.0989,NANR,Energy
2024-10-31,557.1981,55.6958,21660720,-4.2448,69.8936,NANR,Energy
2024-11-29,571.3067,57.674,18050220,-2.8428,72.3903,NANR,Energy
2024-12-31,588.0853,51.1379,118922300,84.5974,64.9897,NANR,Energy
2025-01-31,554.2794,53.4597,96715510,-59.3542,67.7609,NANR,Energy
2025-02-28,589.1921,54.0195,93796250,47.6591,68.5798,NANR,Energy
2025-03-31,631.0455,55.5274,31488240,3.7963,70.5868,NANR,Energy
2025-04-30,596.0098,52.4363,39710870,5.8768,66.7832,NANR,Energy
2025-05-30,628.1076,54.1478,29695990,-0.1325,68.858,NANR,Energy
2025-06-30,586.0546,56.596,107520200,-66.3591,72.6798,NANR,Energy
2025-07-31,590.1931,57.4397,24498130,2.9055,73.6069,NANR,Energy
2025-08-29,646.5661,62.1698,24351470,7.6765,79.801,NANR,Energy
